# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
 0.4908741590265294,0.012047872000000126,0.024543707951326474,0.05,0.0,0.0,0,0.0,0.0,0.0
 0.6955713622627097,0.024190976000000086,0.059322276064461964,0.1699025075247749,0.0,0.0,0,0.0,0.0,0.0
 0.8535636355890501,0.03642854399999984,0.077456749892588,0.1147807639343756,0.0,0.0,0,0.0,0.0,0.0
 0.9875202073881831,0.048759808000000016,0.09205419214886168,0.10897145291357899,0.0,0.0,0,0.0,0.0,0.0
 1.1062007051163898,0.061183999999999905,0.10468604562522867,0.10643579794631067,0.0,0.0,0,0.0,0.0,0.0
 1.2140869161637473,0.07370035199999991,0.11601438106400692,0.1050026257183654,0.0,0.0,0,0.0,0.0,0.0
 1.3138348145790626,0.086308096,0.12639608653714046,0.10407944065054639,0.0,0.0,0,0.0,0.0,0.0
 1.4071706648448858,0.0990064639999999,0.13605027397119734,0.10343493316406796,0.0,0.0,0,0.0,0.0,0.0
 1.495290526954545,0.11179468800000003,0.14512305958997154,0.10295959845560977,0.0,0.0,0,0.0,0.0,0.0
 1.5790630133088426,0.12467200000000012,0.15371767701316955,0.10259475153750267,0.0,0.0,0,0.0,0.0,0.0
 1.659142139781882,0.13763763200000012,0.1619102576545363,0.1023060690369166,0.0,0.0,0,0.0,0.0,0.0
 1.7360346540319995,0.15069081600000023,0.16975883969069394,0.10207212122922166,0.0,0.0,0,0.0,0.0,0.0
 1.8101424474333514,0.16383078400000017,0.17730885507326746,0.10187883130839238,0.0,0.0,0,0.0,0.0,0.0
 1.8817904665504082,0.17705676800000014,0.1845966456991879,0.10171656824194722,0.0,0.0,0,0.0,0.0,0.0
 1.9512457559210736,0.1903680000000001,0.1916518111235739,0.10157851890493683,0.0,0.0,0,0.0,0.0,0.0
 2.019050761367399,0.20376371199999999,0.19756228779605353,0.08716873678534519,0.0,0.0,0,0.0,0.0,0.0
 2.0864478813673992,0.217243136,0.19999999999999934,0.03616938237043069,0.0,0.0,0,0.0,0.0,0.0
 2.154259721367401,0.23080550400000033,0.19999999999999934,0.0,0.0,0.0,0,0.0,0.0,0.0
 2.2224824413674007,0.24445004800000025,0.2,9.764105195088932e-15,0.0,0.0,0,0.0,0.0,0.0
 2.2911122013674,0.2581760000000002,0.20000000000000065,9.30176994877252e-15,0.0,0.0,0,0.0,0.0,0.0
 2.3601451613673996,0.2719825920000001,0.2,-9.247441210104128e-15,0.0,0.0,0,0.0,0.0,0.0
 2.4295774813674,0.2858690560000001,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0
 2.4994053213674006,0.29983462400000027,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0
 2.5696248413674008,0.31387852800000027,0.19999999999999937,-9.091179192900537e-15,0.0,0.0,0,0.0,0.0,0.0
 2.640232201367401,0.3280000000000003,0.19999999999999937,0.0,0.0,0.0,0,0.0,0.0,0.0
 2.711223561367401,0.3421982720000003,0.20000000000000062,1.759370299010054e-14,0.0,0.0,0,0.0,0.0,0.0
 2.7825950813674005,0.35647257600000026,0.20000000000000062,0.0,0.0,0.0,0,0.0,0.0,0.0
 2.8543429213674,0.37082214400000013,0.19999999999999937,-1.7408202152194528e-14,0.0,0.0,0,0.0,0.0,0.0
 2.9264632413674008,0.3852462080000003,0.20000000000000062,1.7318293966295344e-14,0.0,0.0,0,0.0,0.0,0.0
 2.998952201367401,0.3997440000000003,0.1999999999999994,-1.6847328573725814e-14,0.0,0.0,0,0.0,0.0,0.0
 3.071805961367401,0.41431475200000034,0.2,8.38148454580567e-15,0.0,0.0,0,0.0,0.0,0.0
 3.1450206813674013,0.42895769600000033,0.1999999999999994,-8.340162518463972e-15,0.0,0.0,0,0.0,0.0,0.0
 3.218592521367402,0.4436720640000005,0.2000000000000006,1.6222100078943725e-14,0.0,0.0,0,0.0,0.0,0.0
 3.292517641367402,0.4584570880000005,0.2,-7.88456059223449e-15,0.0,0.0,0,0.0,0.0,0.0
 3.366792201367401,0.4733120000000004,0.2000000000000006,7.847466049320432e-15,0.0,0.0,0,0.0,0.0,0.0
 3.441412361367402,0.48823603200000054,0.2,-7.811120854313386e-15,0.0,0.0,0,0.0,0.0,0.0
 3.5163742813674004,0.5032284160000002,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0
 3.5916741213674017,0.5182883840000005,0.2000000000000006,7.74061522478928e-15,0.0,0.0,0,0.0,0.0,0.0
 3.6673080413674004,0.5334151680000003,0.2000000000000006,0.0,0.0,0.0,0,0.0,0.0,0.0
 3.743272201367401,0.5486080000000004,0.19999999999999943,-1.5345844354184965e-14,0.0,0.0,0,0.0,0.0,0.0
 3.8195627613674006,0.5638661120000004,0.2000000000000006,1.5280189001842728e-14,0.0,0.0,0,0.0,0.0,0.0
 3.8961758813674017,0.5791887360000005,0.19999999999999943,-1.521585566357822e-14,0.0,0.0,0,0.0,0.0,0.0
 3.973107721367401,0.5945751040000005,0.20000000000000057,1.4792036694310106e-14,0.0,0.0,0,0.0,0.0,0.0
 4.050354441367402,0.6100244480000006,0.19999999999999943,-1.47317400692324e-14,0.0,0.0,0,0.0,0.0,0.0
 4.127912201367401,0.6255360000000005,0.20000000000000115,2.2187924047432574e-14,0.0,0.0,0,0.0,0.0,0.0
